Row,Equipment Number,Original Description,Suspect Tokens
1259,2000019574,F019 Vertical Lift/roll U Pump,"F019, Pump, U"
1260,2000019575,F020 Vertical Lift/roll U Pump,"F020, Pump, U"
1261,2000019576,G003 Vertical Lift/roll U Pump,"Pump, U"
1262,2000019577,G004 Vertical Lift/roll U Pump,"G004, Pump, U"
1263,2000019578,G008 Vertical Lift/roll U Pump,"Pump, U"
1264,2000019579,G029 Vertical Lift/roll U Pump,"G029, Pump, U"
1265,2000019580,H001 Vertical Lift/roll U Pump,"Pump, U"
1266,2000019581,(baq) I&c Shop,"c, I"
1267,2000020009,L001 Vertical Lift/roll U Pump,"Pump, U"
1268,2000020010,L002 Vertical Lift/roll U Pump,"Pump, U"
1269,2000020011,U005 Vertical Lift/roll U Pump,"Pump, U"
1270,2000020041,(bg) 1 Bgeff,"bg, Bgeff"
1271,2000020042,Fo Unloading Building,Fo
1272,2000020043,Fo Unloading Building-jv,"Fo, jv"
1274,2000020048,Bunker - Explosives West Unit 3,"Bunker, Explosives, West"
1278,2000020057,Recycle Pumphouse,Pumphouse
1295,2000020094,Warehouse-jv,jv
1298,2000020510,Atomizer Shop Dr,Dr
1299,2000020511,Atomizer Shop Dr,Dr
1300,2000020512,(bg) 3 Bgscrb,bg
1301,2000020513,3 Computer Room Unit 3 Co Mputer Room,"Co, Mputer"
1302,2000020514,(bg) 3 Control,bg
1303,2000020515,(bg) 3 Ctph,"bg, Ctph"
1305,2000020517,(bg) 3 Pebl,"bg, Pebl"
1306,2000020518,Transition Building Lawn Sprnklr Sys,Sprnklr
1307,2000020519,(bg) 3 Sss,bg
1319,2000020534,Well House-jv,jv
1323,2000020540,6 Well House-jv,jv
1329,2000020546,(bg) A Confrm,"A, bg"
1330,2000020547,(bg) A Locker Room,"A, bg"
1331,2000020548,Vertical Lift/roll Up Admin Mail Room,Up
1333,2000020550,Vertical Lift/roll Up Admin Mail Room,Up
1335,2000020552,(bg) All Elev,bg
1336,2000020553,(bg) All Locker Room,bg
1337,2000020554,(bg) All Plot,bg
1338,2000020555,(bg) All Whse,bg
1339,2000020556,(bg) AQCS Control,bg
1342,2000020559,(bg) Atomizer Shop,bg
1343,2000020560,Vertical Lift/roll Up Dr,"Dr, Up"
1344,2000020561,Vertical Lift/roll Up Dr,"Dr, Up"
1345,2000020562,(bg) Awrph,"Awrph, bg"
1346,2000020563,(bg) B Confrm,"B, bg"
1347,2000020564,(bg) B Locker Room,"B, bg"
1348,2000020567,(bg) Bgad,"bg, Bgad"
1349,2000020568,(bg) Bgblr,"bg, Bgblr"
1350,2000020569,Scheduling Building,Scheduling
1351,2000020570,(bg) Bgscrb,bg
1352,2000020571,(bg) Bgtrans,"bg, Bgtrans"
1353,2000020572,(bg) C Confrm,"bg, C"
1354,2000020573,(bg) C Control,"bg, C"
1355,2000020574,(bg) C Locker Room,"bg, C"
1360,2000020579,(bg) Carp Shop,"bg, Carp"
1361,2000020583,(bg) D Confrm,"bg, D"
1362,2000020584,(bg) D Locker Room,"bg, D"
1363,2000020585,Vertical Lift/roll Up,Up
1364,2000020586,Vertical Lift/roll Up,Up
1365,2000020587,Vertical Lift/roll Up,Up
1366,2000020589,(bg) E Confrm,"bg, E"
1367,2000020590,(bg) E Locker Room,"bg, E"
1368,2000020591,(bg) E Plot,"bg, E"
1369,2000020592,(bg) Elec Shop,bg
1370,2000020594,(bg) Envlab,"bg, Envlab"
1371,2000020595,(bg) F Confrm,"bg, F"
1372,2000020596,(bg) F Locker Room,"bg, F"
1373,2000020597,(bg) G Confrm,"bg, G"
1374,2000020598,(bg) G Locker Room,"bg, G"
1375,2000020599,(bg) H Confrm,"bg, H"
1376,2000021000,(bg) H Locker Room,"bg, H"
1377,2000021001,(bg) I Confrm,"bg, I"
1378,2000021002,(bg) I Locker Room,"bg, I"
1379,2000021003,(bg) I&c Shop,"bg, c, I"
1380,2000021004,(bg) Insl Shop,"bg, Insl"
1381,2000021005,(bg) J Locker Room,"bg, J"
1382,2000021006,(bg) K Locker Room,"bg, K"
1383,2000021007,K001 Vertical Lift/roll U Lime Unloadng,U
1384,2000021008,K005 Vertical Lift/roll U Lime Receiving,"K005, U"
1385,2000021009,K008 Vertical Lift/roll U Lime Unloadng,"K008, U"
1386,2000021010,L002 Vertical Lift/roll U Pump,"Pump, U"
1387,2000021015,(bg) Land,bg
1388,2000021016,(bg) Landfill Garage Landfill Garage,bg
1390,2000021018,(bg) Mill Shop,bg
1391,2000021019,(bg) North Locker Room,"bg, North"
1392,2000021020,(bg) New Chem,bg
1393,2000021021,(bg) O Plot,"bg, O"
1394,2000021022,(bg) Old Chem,bg
1400,2000021041,P019 Personnel Door,P019
1401,2000021042,P020 Personnel Door,P020
1402,2000021043,P022 Personnel Door,P022
1403,2000021044,P023 Personnel Door,P023
1404,2000021045,P024 Personnel Door,P024
1405,2000021046,P026 Personnel Door,P026
1406,2000021047,P028 Personnel Door,P028
1407,2000021048,P029 Personnel Door,P029
1408,2000021049,P030 Personnel Door,P030
1409,2000021050,P031 Personnel Door,P031
1412,2000021054,Salt Shed Building,Salt
1414,2000021056,"31 & 32 Ssst, Ladder Truck Loading Area","Ladder, Loading, Ssst"
1415,2000021057,Ash Silo Entrance Dr Southeast Vtl,Dr
1416,2000021058,Ash Silo Entrance Dr Northeast Vtl,Dr
1417,2000021059,Ash Silo Exit Dr Southwest Vtl,Dr
1418,2000021060,Ash Silo Exit Dr Northwest Vtl,Dr
1419,2000021061,Ash Silo Vtl Dr South Stairwell Vtl,"Dr, South"
1420,2000021062,Ash Silo Vtl Dr North Stairwell Vtl,"Dr, North"
1422,2000021064,(bg) Sub Control,bg
1423,2000021065,(bg) T Plot,"bg, T"
1425,2000021067,(bg) Tool,bg
1426,2000021068,2 Whse Vertical Dr,Dr
1427,2000021069,1 Whse Vertical Door Interior Door,Interior
1428,2000021070,10 Whse Vertical Door East,East
1429,2000021071,10 Whse Vertical Door South,South
1430,2000021072,11 Whse Vertical Door South,South
1431,2000021073,11 Whse Vertical Door West,West
1432,2000021074,12 Whse Vertical Door East,East
1433,2000021075,15 Whse Vertical Door East,East
1434,2000021076,16 Whse Vertical Door North,North
1435,2000021077,16 Whse Vertical Door South,South
1436,2000021078,1 Whse Vertical Door East,East
1437,2000021079,1 Whse Vertical Door North,North
1438,2000021080,1 Whse Vertical Door South,South
1439,2000021081,1 Whse Vertical Door West,West
1440,2000021082,3 Whse Vertical Door North,North
1444,2000021086,5 Whse Vertical Door North,North
1447,2000021089,7 Whse Vertical Door East,East
1448,2000021090,7 Whse Vertical Door West,West
1449,2000021091,9 Whse Vertical Door North,North
1450,2000021092,9 Whse Vertical Door South,South
1451,2000021093,(bg) Weld Shop,bg
1452,2000021094,(bg) Y Plot,"bg, Y"
1453,2000021095,36B Motor Operated Damper,36B
1454,2000021096,Building Heating Circ Water Pump Mot,Pump
1455,2000021097,Building Heating Circ Water Pump,Pump
1470,2000021684,North Admin Turnstile,North
1492,2000022549,Scrubber I&c Shop Air Conditioner,"c, I"
1493,2000022550,Building Heating Circ Water Pump Mot,Pump
1494,2000022551,Building Heating Circ Water Pump,Pump
1496,2000022554,Electric Unit Heater 1A Conv East,East
1510,2000023560,Electric Unit Heater 1A Conv West,West
1520,2000023570,34A Motor Operated Damper,34A
1521,2000023571,34B Motor Operated Damper,34B
1526,2000023576,36A Motor Operated Damper,36A
1530,2000023580,Air Handling Unit Belt Item #151579,Item
1561,2000024043,(bh) All Hwuh,bh
1563,2000024045,(bh) Prv,bh
1564,2000024046,(bhb) Awrb,"Awrb, bhb"
1601,2000029055,(bmg) All Fp,Fp
1604,2000029061,(bph) 3 Bgturb,Bgturb
1605,2000029062,A004 Vertical Lift/roll U Pump,"Pump, U"
1607,2000029064,B001 Vertical Lift/roll U Pump,"Pump, U"
